id,genre,track_name,artist_name,valence,energy
2ZQyksYO4zzhyHNcueL0CP,acoustic,Home,Phillip Phillips,0.293,0.792
3U9FMzSjrXFS0AnElgcw0j,acoustic,On My Way,Boyce Avenue,0.174,0.564
6vrUTGn5p8IrfTZ0J6sIVM,acoustic,Iris,The Goo Goo Dolls,0.513,0.79
4psC5agYNMRBscGeLTqhc3,acoustic,20 Years,The Civil Wars,0.346,0.296
3jH92uUHDEPQfjfQKYErj1,acoustic,"You and I Both - Live at the Eagles Ballroom, Milwaukee, WI, 10/28/2003",Jason Mraz,0.457,0.798
5xZV3jkOFbKLH7ywEqGORA,acoustic,Gone,The Show Ponies,0.582,0.666
3GKZKaNY0Stt4swaxz83E5,acoustic,I Was Made for Loving You,Sue Ellen,0.0634,0.0684
451GvHwY99NKV4zdKPRWmv,acoustic,Banana Pancakes,Jack Johnson,0.615,0.375
3uWrO0I338XeRbFMLxVWln,acoustic,Romantiken (feat. Ane Brun),Tomas Andersson Wij,0.316,0.432
1KqlVt63Q4bl1VdSlymr5C,acoustic,Riptide,Vance Joy,0.51,0.731
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415
508HOiphnDt26e8ylIQlwP,acoustic,Jag gråter bara i regnet - Akustisk version,Newkid,0.41,0.248
5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.292
0vWjNkwgkTnyzfeLdTKWJ7,acoustic,Roar,Alex Goot,0.425,0.394
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.137,0.352
3Qf1X9wE43iXD8RLU4zlKR,acoustic,Wrecking Ball (feat. Diamond White),Boyce Avenue,0.184,0.317
567EmmCbOtpEuaVC2zznU6,acoustic,Dirty Old Town,Craig Cardiff,0.328,0.418
3QAE7ypzhNZzQxOjKCGHD9,acoustic,"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,0.244,0.548
0j9KNQ9pDEQejEm3wdgiAr,acoustic,I Love the Rain the Most,Joe Purdy,0.582,0.256
1mgrAR1eIxghtjZUP9uBIh,acoustic,Born This Way,Ulrik Munther,0.837,0.41
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38
2I2kwyKgiiig05zX4PCSlx,acoustic,Billie Jean - Live,The Civil Wars,0.442,0.174
3GMV7ltaBogDx7TGaCKsKr,acoustic,I Try,Ben Taylor,0.423,0.139
7zkLpY72g6lKQbiHDqri1S,acoustic,Sunrise,Norah Jones,0.679,0.299
1PUh1GENlvlgu0dW28I6tY,acoustic,"Hello, I'm In Delaware",City and Colour,0.388,0.458
